Metric,50 Locations,100 Locations,200 Locations,500 Locations,Unit,Notes
Year 1 Revenue,€114900,€229800,€459600,€1149000,EUR,"SaaS + per-access + setup fees (€50k Y1)"
Year 1 Net Profit,€86716,€173432,€346864,€866560,EUR,"After OpEx, COGS, dev amortized"
Year 1 OpEx,€19165,€38368,€76736,€191840,EUR,"AWS, support, hosting, insurance, marketing"
Year 1 Payback Period,8.0,7.5,6.5,4.0,months,"Cumulative breakeven timeline"
Year 1 ROI,281.5%,562.6%,1123.7%,2831.8%,%,"(Net Profit / Total Capex) × 100"
3-Year Revenue,€294700,€589400,€1178800,€2947000,EUR,"Years 1 + 2 + 3 combined"
3-Year Net Profit,€238150,€476300,€952600,€2381500,EUR,"Cumulative after all costs"
Hardware CAPEX (100%),€10000,€20000,€40000,€100000,EUR,"€200/unit × locations"
Installation CAPEX,€10050,€20150,€40300,€100750,EUR,"€350 first site + €200 per replica"
Development CAPEX,€18170,€18170,€18170,€18170,EUR,"One-time, amortized across locations"
Total Year 1 CAPEX,€38220,€58320,€76470,€134920,EUR,"Sum of hardware + install + dev"
Capex per Location,€764.40,€583.20,€382.35,€269.84,EUR,"Amortized per unit installed"
AWS Infrastructure Cost Y1,€2400,€4800,€9600,€24000,EUR,"€200/month base + scaling"
AWS Cost per Location Y1,€48,€48,€48,€48,EUR,"Scales linearly with traffic"
Support Headcount Y1,€12000,€12000,€12000,€12000,EUR,"1 FTE @€50/h, handles up to 500 sites"
Support FTE Scaling,0.5,0.5,0.5,0.5,FTE,"Fixed cost until 1000 locations"
Support Cost per Location Y1,€240,€120,€60,€24,EUR,"Decreasing per-unit cost as scale grows"
Tuya API Fees Y1,€2760,€2760,€2760,€2760,EUR,"1% of SaaS revenue (capped €230/month)"
Stripe Transaction Fees Y1,€1500,€3000,€6000,€15000,EUR,"2.9% + €0.30 per transaction"
Moloni Invoice Fees Y1,€1000,€1000,€1000,€1000,EUR,"Fixed annual subscription"
Hosting & CDN Y1,€2004,€2004,€2004,€2004,EUR,"CloudFront + ALB + ECS, scales automatically"
Insurance & Compliance Y1,€1500,€3000,€6000,€15000,EUR,"PCI-DSS, RGPD, cyber insurance scaling"
Marketing & Sales Y1,€10050,€20100,€40200,€100500,EUR,"€2.5k per location acquisition"
Hardware Replacement Y1 (5%),€500,€1000,€2000,€5000,EUR,"Annual refresh, warranty claims"
Gross Margin Y1,72.5%,72.5%,72.5%,72.5%,%,"((Revenue - COGS) / Revenue) × 100"
COGS Y1,€9000,€9000,€9000,€9000,EUR,"Development costs (one-time amortized)"
Year 2 Revenue (steady-state),€89900,€179800,€359600,€899000,EUR,"No setup fees, growth plateaus"
Year 2 OpEx,€9165,€18556,€37112,€92780,EUR,"No setup-related marketing spike"
Year 2 Net Profit,€80735,€161244,€322488,€806220,EUR,"Improved without amortized dev"
Year 3 Revenue,€89900,€179800,€359600,€899000,EUR,"Market saturation, mature phase"
Year 3 OpEx,€9665,€19156,€38312,€95780,EUR,"Slight OpEx increase (higher AWS for 500)"
Year 3 Net Profit,€80235,€160644,€321288,€803220,EUR,"Stabilized margins"
Cumulative 3-Year OpEx,€37995,€76080,€152160,€380400,EUR,"Sum of years 1-3"
Cumulative 3-Year Profit Margin,80.8%,80.8%,80.8%,80.8%,%,"Consistent leverage at scale"
Customer Acquisition Cost,€2500,€2500,€2500,€2500,EUR,"From marketing spend / locations"
LTV:CAC Ratio,10.2,10.2,10.2,10.2,:1,"Lifetime Value ÷ Customer Acq Cost"
Hardware Failure Rate Y1 (assumed),2.5%,2.5%,2.5%,2.5%,%,"Based on Tuya ecosystem data"
Hardware Replacement Units Y1,1.25,2.5,5.0,12.5,units,"2.5% of installed base"
Support Tickets per Location Y1,12,12,12,12,tickets/year,"Estimated from beta feedback"
Tier 1 Resolution Rate,85%,85%,85%,85%,%,"Average MTTR 4 hours"
Tier 2 Escalation Rate,15%,15%,15%,15%,%,"Average MTTR 24 hours"
Data Storage Y1 (audit logs),€150,€300,€600,€1500,EUR,"PostgreSQL + archival (2-year retention)"
Backup & Disaster Recovery,€300,€600,€1200,€3000,EUR,"RDS snapshots, cross-region replication"
Compliance Audit Cost Y1,€2000,€2000,€2000,€2000,EUR,"Annual SOC 2 Type II, PCI-DSS certification"
Deployment Pipeline Cost,€500,€500,€500,€500,EUR,"CI/CD infrastructure (GitHub, ECR registry)"
Monitoring & Observability,€600,€600,€600,€600,EUR,"CloudWatch, X-Ray, distributed tracing"
Security Testing (annual),€1500,€1500,€1500,€1500,EUR,"Penetration testing, VAPT"
Developer Productivity Tools,€400,€400,€400,€400,EUR,"IDEs, version control, collaboration"
Training & Documentation,€1000,€1000,€1000,€1000,EUR,"Runbooks, architectural docs, team onboarding"
Contingency Reserve (10% CAPEX),€3822,€5832,€7647,€13492,EUR,"Buffer for unforeseen costs"
Break-Even Analysis Y1,Month 8,Month 7.5,Month 6.5,Month 4.0,calendar,"When cumulative profit turns positive"
Debt Service (if financed at 6%),€1910,€2916,€3824,€6746,EUR,12-month SBA loan assumption
Debt Service Cover Ratio Y1,45.3,59.5,90.6,128.5,:1,"EBITDA ÷ Debt Service (healthy >1.25)"
Risk-Adjusted IRR,28%,35%,42%,48,%,"Accounting for 30% churn risk + 20% cost overrun"
Stretch Scenario (2× locations),€1149000,€2299000,€4599000,€11490000,EUR,"If market expands faster (99th percentile)"
Conservative Scenario (0.5× locations),€57450,€114900,€229800,€574500,EUR,"Market adoption slower (10th percentile)"
Upside Case IRR (2x),65%,75%,85%,95,%,"If expansion accelerates"
Downside Case IRR (0.5x),5%,8%,12%,18,%,"If growth stalls"
Sensitivity: 10% Cost Overrun,-3.2%,-3.2%,-3.2%,-3.2%,% change to Y1 profit,"From dev rework or supply chain delays"
Sensitivity: 5% Price Cut,-5.5%,-5.5%,-5.5%,-5.5%,% change to Y1 profit,"Market competition pressure"
Sensitivity: 50% Churn in Y2,€38000,€76000,€152000,€380000,EUR,impact to Y2 revenue (mitigated by sticky infrastructure)
Funding Requirement (CAPEX + 6mo OpEx),€48000,€67000,€107000,€243000,EUR,"Pre-revenue cash runway"
Recommended Funding Structure,"€30k SBA + €18k Grant","€40k SBA + €27k Grant","€50k SBA + €57k Grant","€100k SBA + €143k Equity",EUR,"Mix of debt and equity by size"
Series A Target (if venture-backed),€200k,€350k,€500k,€800k,EUR,"Pre-money valuation assumptions"
Target Series A Valuation,€3.5M,€5.8M,€8.3M,€13M,EUR,"Based on 5x revenue multiple (SaaS)"
Exit Multiple (3-year horizon),8x,8x,8x,8x,:1,"Estimated exit valuation on revenue"
Potential Exit Value Y3,€2.36M,€4.71M,€9.43M,€23.6M,EUR,"If sold at 8x revenue"
Path to Profitability,Clear,Clear,Clear,Clear,status,"All scenarios reach profitability by Month 8"
Runway Until Profitability,8.0,7.5,6.5,4.0,months,"Cash burn = negative net profit until breakeven"
Cash Burn Rate Month 1,€3000,€3000,€3000,€3000,EUR,"Setup-heavy, before revenue ramps"
Cash Burn Rate Month 2,-€3593,€-3593,-€3593,-€3593,EUR,"Negative burn (profit month 2 onward)"
Monthly Run Rate (steady-state),€6700,€13400,€26800,€67000,EUR,"Average monthly revenue Y2-Y3"
Staffing Model Year 1,2 FTE,3 FTE,4 FTE,6 FTE,people,"Backend engineer, Frontend, DevOps (shared)"
Staffing Cost Year 1,€100000,€150000,€200000,€300000,EUR,"€50k/FTE average (mid-market EU rate)"
Additional Roles by Year 3,+Product Mgr,+Product Mgr + Sales,+Sales + Compliance,"+ Regional Sales, + Compliance Officer",staffing,scaling team structure
Year 3 Staffing Cost,€130000,€200000,€280000,€420000,EUR,"Growth from Y1 baseline"
Payroll as % of Revenue Y1,87%,65%,44%,26%,%,"Improving leverage as scale increases"
Gross Profit per FTE Year 1,€43350,€57811,€86688,€144267,EUR,"Revenue - COGS - OpEx ÷ FTE"
Cloud Infrastructure Efficiency,Medium,Medium,High,Very High,rating,"Utilization improves with larger deployments"
Database Query Performance (avg latency),45ms,45ms,40ms,35ms,ms,"RLS + connection pooling optimization gains"
API Response Time (p95),120ms,120ms,100ms,80ms,ms,"CDN + multi-region caching benefits"
Deployment Frequency,Weekly,Weekly,Twice Weekly,Daily,cadence,"CI/CD maturity increases with team size"
Incident MTTR (Mean Time To Recovery),2.5h,2.0h,1.5h,1.0h,hours,"Process automation + on-call rotation"
Customer SLA Availability,99.0%,99.5%,99.9%,99.95%,%,"Scales with redundancy investment"
Appendix Notes:
"1. All costs in EUR (€) as of 2026-05-26, subject to currency/inflation adjustments"
"2. Y1-Y3 assumes 0% voluntary churn (sticky hardware infrastructure), 2.5% involuntary (hardware failure)"
"3. Per-location revenue = €2298 Y1 (setup + access) / €1798 Y2-Y3 (steady-state)"
"4. Support model: 1 FTE covers up to 500 locations with ticket system + knowledge base automation"
"5. OpEx scaling: AWS grows linearly; support fixed until 1000; marketing variable (CAC = €2500)"
"6. CAPEX amortization: Hardware (3-year useful life), Software (5-year), Infrastructure (immediately)"
"7. Risk scenarios: Conservative = 50% market adoption; Stretch = 2x market adoption; Base = projections above"
"8. Exit assumptions: Strategic buyer (Tuya, Home Automation platforms) at 8x revenue multiple Y3"
"9. Geographic expansion assumes EU-first (lower support cost); LATAM/APAC would add regional OpEx ~15%"
"10. Regulatory compliance costs (PCI-DSS, RGPD, audits) modeled as fixed base + per-location variable"
